,tags,Cleaned_tweet,recommend,symptoms1
1518,sprain,still dont believe pat mahomes high ankle sprain chief nfl g weak one,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1522,sprain,  today 's generation fragile sprain ankle week diving floor loose ball may   ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1524,sprain,so wasnt fracture thank god really bad sprain got foot wrapped cast day lmao,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1528,sprain,high ankle sprain happened week ago game ago jacksonville   most pla ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1534,sprain,slow moving maintenance vehicle two lane closed valhalla sprain brk pky srt  c cross ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1538,sprain,ugh ankle sprain got twisted fine ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1546,sprain,slow moving maintenance vehicle two lane closed hawthorne sprain brk pky srt  bradhurst ave ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1553,sprain, brady left afc championship game high ankle sprain played week later supe ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1555,sprain,quez also said played grade shoulder sprain since tennessee game eagle,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1559,sprain,probably minor sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1561,sprain,slow moving maintenance vehicle two lane closed hawthorne sprain brk pky staconic state pkwy ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1568,sprain, guuuurrrlll  patrick mahomes ankle sprain fake fuck exist attention dram ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1572,sprain,guuuurrrlll  patrick mahomes ankle sprain fake fuck exist attention drama,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1573,sprain,exactly one salso bad high ankle sprain   ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1575,sprain, played quarter football low grade high ankle sprain put number insane,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1576,sprain,  isaiah bigelow 's mri revealed additional damage sprained right foot missed last game lo ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1581,sprain,mean guess fact played high ankle sprain played defens ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1586,sprain,oh im sorry youve forgotten smahigh ankle sprain jbroke face like ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1588,sprain,  today 's generation fragile sprain ankle week diving floor loose ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1589,sprain,sprain walk run even little odd movement huslipping step trip ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1592,sprain,  already suffering bad high ankle sprain people could n't even play got   ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1609,sprain,played quarter football low grade high ankle sprain put number insane,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1610,sprain,  think game would like mahomes n't high ankle sprain wild still pulled chiefskingdom  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1612,sprain,  n't wag hard 'll sprain tail  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1613,sprain,thank suffered quite nasty sprain sunday sadly wont playing,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1615,sprain,neck sprain looking desperate attn yaar .. hope come reality soon .. really like ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1622,sprain,me witnessing jackson mahomes high ankle sprain playoff plot line random mfer wrote season scri ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1636,sprain,  's wrong rh wrist cathy sprain  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1638,sprain,bet neuro blocked ankle sad thing tear instead sprain ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1644,sprain,sprain ankle valentine day day typical,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1648,sprain,lmao  u  your team played like crap th th wr high ankle sprain mahomes .,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1652,sprain,imagine werent casual without clue.  brady shigh ankle sprain   brady ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1658,sprain,sprain month ago tackle wasnt bad ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1661,sprain,esguince sprain nft    encadenadx un sitio todo paso e falso every step false whi ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1666,sprain,first super bowl week high ankle sprain beat ram nasty year,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1672,sprain, high ankle sprain le much worse front ankle bend  next ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1679,sprain,  nothing serious fell stairs. fortunately 's sprain  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1681,sprain,didnt sprain ankle long,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1689,sprain,finished season highlight game missed game due mcl sprain middle ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1690,sprain,like mean high ankle sprain running around like nun wrong  one moment bad pai ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1692,sprain,  damn high ankle sprain jacksonville game  sheesh another 'fan doe ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1694,sprain,the warrior prepare host wizard wiggins questionable ankle sprain might play kuminga ove ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1696,sprain,sampson said arceneaux suffered   nasty sprain   wednesday tulsa team\ 's medical staff ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1698,sprain,  already suffering bad high ankle sprain people could n't even play ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1700,sprain, souley boum expected play despite sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1702,sprain,souley boum expected play despite sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1705,sprain,and sprain thigh healed still need careful maintain course felt ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1716,sprain,andrew wiggins available warrior tonight v wizard questionable ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1717,sprain,the sacramento king ruled malik monk tuesday game phoenix sun due right ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1719,sprain, embiid questionable mild t boz sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1723,sprain,  urgent care went bunch quacks. my ankle n't broken 's sprain  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1726,sprain,show odd front nose tackle running qbs suffering high ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1728,sprain,anyone bad ankle sprain knew exactly pat feeling first time turn ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1730,sprain,why comparing ankle sprain almost torn knee ligament dumb,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1733,sprain,  cj mccollum right ankle sprain tonight 's game v okc per pelican  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1735,sprain,from nola cj mccollum right ankle sprain tonight game oklahoma city,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1736,sprain,pelicans say cj mccollum right ankle sprain tonight game oklahoma city,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1744,sprain,mean tell aggravated high ankle sprain yesterday somehow today walk day disney,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1745,sprain,embiid questionable mild t boz sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1752,sprain,wan na learn intro choreo candy ill probably sprain ankle trying,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1760,sprain, serious ankle sprain thunder sophomore jeremiah robinson earl set make return nba tonight ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1761,sprain,after serious ankle sprain thunder sophomore jeremiah robinson earl set make return nba ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1771,sprain,high ankle sprain bad,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1772,sprain,probably slight ankle sprain training big fight table ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1773,sprain, eugene omoruyi ankle sprain tonight game vs. pelican,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1774,sprain,eugene omoruyi ankle sprain tonight game vs. pelican,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1792,sprain,  urgent care went bunch quacks. my ankle n't broken 's sprain  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1793,sprain,katie look sad ryder rubble sprain paw pawpatrol,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1797,sprain,yup way thing humentioned maybe small sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1798,sprain,philly fan say yet try shit mahomes playing high ankle sprain playoff,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1809,sprain,kyle kuzma left ankle sprain tonight wizards warriors game wiz announced,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1810,sprain,oh yay random foot sprain strain know needed im already bad tennis elbow ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1812,sprain,game status questionable ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1831,sprain,he grade calf sprain similar one kd tore achilles theyre taking slow,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1836,sprain,tbplayed game high ankle sprain masterf ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1849,sprain,  missed washington 's last three game left ankle sprain kyle kuzma participated fully ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1853,sprain,nursing ankle sprain since first playoff game,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1856,sprain,sry update math thinking andrew wiggins questionable ankle sprain he ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1857,sprain,sbrady played entire game high ankle sprain suffered day earlier pittsburgh ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1870,sprain,rushing yard season bad ankle sprain cut ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1877,sprain,patrick mahomes played hell game  simply didnt high ankle sprain thats th ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1878,sprain,espn let go mahomes game high ankle sprain shit annoying,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1880,sprain,  'm say patrickmahomes must hit hellva drug ankle sprain sure disappeared second half game ijs  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1888,sprain,go ankle better break bad sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1895,sprain,acting yes dude tackled   high ankle sprain   resulting severe limp field ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1908,sprain,playing high ankle sprain could see limping game talking,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1918,sprain,high ankle sprain le much worse front ankle bend ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1921,sprain,patrick mahomes playin game high grade sprain ankle simplyamazing u twi ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1922,sprain,dipo coming back he sprain little long due past bit worrying tbh,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1926,sprain,  gtfoh serious ankle sprain mean n't coming back jacksonville game much le afccg s,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1937,sprain,imaging accusing mahomes faking high ankle sprain  really nasty work sick ugly ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1940,sprain,sprained ankle real badly even im real careful cause know something small co ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1948,sprain,  another horrible day started almost breaking toe thank god sprain ca n't wal ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1951,sprain,dont get twisted second jalen huphenomenal mahomes  dude high ankle sprain still ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1955,sprain,  patrick mahomes tough road ahead heal high ankle sprain 's why  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1956,sprain,  patrick mahomes tough road ahead heal high ankle sprain 's why  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1961,sprain,didnt fake wrist sprain keep shit like whole month bc got gym orchestra,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1962,sprain,  syndesmosis get injured usually call 'high ankle sprain  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1966,sprain,tom brady played superbowl winning season bucs torn mcl mahomes small high ankle sprain nothing sorry folk,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1971,sprain,diagnosed grade high ankle sprain usually take week recover,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1973,sprain,mentally physically tough mahomes must play high ankle sprain re aggravated ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
1999,sprain,whiplash sprain strain muscle ligament tendon neck common auto accident ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2000,sprain, finally battle one expected need one emerge without sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2018,sprain,hey raven fan  chief qsuperbowl dealing high ankle sprain weak wr squad  could lamar ravensflock,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2020,sprain, mahomes shit grade high ankle sprain toughness understatement,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2021,sprain,mahomes shit grade high ankle sprain toughness understatement,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2025,sprain,cant say amp casually leave playing bad high ankle sprain ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2028,sprain,camera boy tripping high ankle sprain heading game reinjur ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2031,sprain,oh yeah twisted ankle high ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2035,sprain,he still dealing mcl sprain expected keep all star ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2039,sprain,re injured high ankle sprain minute offense mahomes st half,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2053,sprain,u crazy couldnt even throw hailmary tony pollard broke talkn bout sprain prolly ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2055,sprain,  n't forget last night lot dink dunk ankle sprain actually forced ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2056,sprain,  first heard ankle sprain sorry hear n't want player hu ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2058,sprain,back game last night  eagle didnt dial blitz  high ankle sprain suppose make drop back hell,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2061,sprain,cherry picked handful play guy playing high ankle sprain usually ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2062,sprain,  miraculously played nd half like ankle ever get high ankle sprain 'm ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2070,sprain,ankle sprain totally fake,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2074,sprain,even high ankle sprain re injured game patrick mahomes still lead chief super ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2076,sprain,patrick mahomes worse weapon defense nfl amp high ankle sprain qbr j ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2090,sprain,ankle sprain wasnt nearly bad medium played give break,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2092,sprain,hard throw pick ur receiver nobody around high ankle sprain as,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2099,sprain,he also broken leg high ankle sprain couldnt even walk turf toe jock itch,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2103,sprain,muscle sprain fucked pr,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2109,sprain,not chief fan mean mahomes went crazy second half ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2110,sprain,high ankle sprain almost worst breaking tbh .. feel month healthy,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2116,sprain,finally battle one expected need one emerge without sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2119,sprain,last night rough hear ankle sprain goat next year ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2124,sprain,this unbelievably dumfirst super bowl high ankle sprain bad couldnt finish th ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2150,sprain, morning mahomes proved doubter wrong high ankle sprain still dont word ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2157,sprain,patrick mahomes one pas incompletion second half high ankle sprain team sa ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2162,sprain,its morning mahomes proved doubter wrong high ankle sprain still dont ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2169,sprain,talking shit   jalen huhigh ankle sprain aggregated game  run tds would ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2174,sprain,this sad mahomes faking high ankle sprain watched happened,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2178,sprain,especially losing like penalty half qhigh ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2179,sprain,if u got high ankle sprain dont come right back game running shit nigga cheated,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2181,sprain,fake ankle sprain running around fine,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2186,sprain,mean mahomes fake ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2206,sprain,brady st shigh ankle sprain afc title game played entire st season ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2210,sprain,  fuck ankle humuch even n't walk when sprain even tf  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2211,sprain,continued entered branch .am advice bad sprain using initiative rather r ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2212,sprain,fake high ankle sprain popped bad play game ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2217,sprain,hate people made ankle sprain sound like foot amputated ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2222,sprain,jimmy played game high ankle sprain say,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2224,sprain,  player seems slip hope 's 'grazed knee amp bad sprain.  u ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2232,sprain,one ankle stop cap likkle sprain jalen fucked shoulder game ago whats important,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2233,sprain,  's bad qget high ankle sprain looked differently go know healike patrick  ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2236,sprain,mahomes played two game high ankle sprain jimmy cleared p ,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2240,sprain,fake limp high ankle sprain bro  ive one retweak hurt,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2244,sprain,huyes terrible high ankle sprain,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing.",No
2260,stroke,cause war end alone stroke black plastic pen,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2264,stroke,also unable handle loss mother died stroke.  parents mu ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2276,stroke,in electromyogram stroke patient slr stretch reflex via spinal cord mean sholatency reflex ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2288,stroke,stroke wtf talking,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2298,stroke,stroke might curtain would awful,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2300,stroke,say stroke mean,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2311,stroke,wait fucking stroke im barely awake nap go twt see oomf tweeting ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2312,stroke,take care health afraid would suffer heaattack stroke ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2327,stroke,  msu gunman anthony mcrae 'mama 's boy turned 'evil mother died stroke daily mail online,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2331,stroke, beauty multidisciplinary care well established stroke protocol center continues ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2332,stroke,missing endangered person repoguy stroke suicide swear find ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2337,stroke,  bloody hell n't tell john cleese 'll stroke  ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2342,stroke,godzilla stroke reading shit,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2357,stroke,  msu killer 'mama 's boy 'turned evil died stroke,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2361,stroke,wan na stroke em,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2362,stroke,  could literally drag guy hand still would n't realize 's supposed stroke  ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2366,stroke,also whats health without wealth   stroke frequents poor cant reco ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2369,stroke,  father msu killer anthony mcrae say turned 'evil bitter mother died stroke h   ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2370,stroke,  msu gunman anthony mcrae 'mama 's boy turned 'evil mother died stroke ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2372,stroke,patiently waiting gape tired teddy bear stroke,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2377,stroke,  msu killer 'mama 's boy 'turned evil died stroke god fearing gunman quit hi ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
2392,stroke,  father msu killer anthony mcrae say turned 'evil bitter mother died stroke ,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery.",No
