,Unnamed: 0,Tweet,tags,Cleaned_tweet,Subjectivity,Polarity,Sentiment,Noun_phrases,Adjectives,final,recommend,symptoms1
1207,1207,b'hunger nausea is the actual fucking devil',nausea,hunger nausea actual fucking devil,0.45,-0.3,Negative,"['hunger', 'nausea', 'actual fucking', 'devil']",['actual'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1208,1208,b'ill never forget when my pregnancy nausea had me sniffing rubbing alcohol ',nausea,ill never forget pregnancy nausea sniffing rubbing alcohol,1.0,-0.5,Negative,"['pregnancy', 'nausea', 'alcohol']",[],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1218,1218,"b'@roundelroundpod that picture could turham green or at least make you feel a bit ickenham. despite the nausea, im... https://t.co/fv2p9eog7l'",nausea,picture could turham green least make feel bit ickenham despite nausea im ,0.35,-0.25,Negative,"['picture', 'feel bit', 'nausea', 'im']","['green', 'least', 'feel', 'ickenham']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1223,1223,"b'is so bad that i havent left the house since, and ive taken atleast 6 oc migraine pills for , have nausea, severe... https://t.co/yz1ajztvky'",nausea,is bad havent left house since ive taken atleast oc migraine pill nausea severe ,0.333333333,-0.35,Negative,"['bad havent', 'house', 'atleast', 'oc migraine', 'pill', 'nausea']","['bad', 'ive', 'oc', 'severe']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1227,1227,"b'rt @honeybeegeek: nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/gp6zfdjipe'",nausea, nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1229,1229,b'my nausea has been getting worse every day what is going on',nausea,my nausea getting worse every day going,0.6,-0.4,Negative,"['nausea', 'every day']",['worse'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1233,1233,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/gp6zfdjipe'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1241,1241,"b'""nausea, wobbling, confusion: dogs are getting sick from discarded weed"";\nhttps://t.co/wuwpaa2xxp'",nausea,  nausea wobbling confusion dog getting sick discarded weed    ,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1244,1244,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/n9wizfofje'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1246,1246,"b'rt @marieann66: nausea, wobbling, confusion: dogs are getting sick from discarded weed - the new york times https://t.co/sj1qyzpspi'",nausea, nausea wobbling confusion dog getting sick discarded weed new york time,0.655844156,-0.288961039,Negative,"['nausea', 'confusion', 'dog', 'new york', 'time']","['sick', 'new']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1247,1247,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/uxhskapqyk https://t.co/wztqunywg3'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1249,1249,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed - the new york times https://t.co/sj1qyzpspi'",nausea,nausea wobbling confusion dog getting sick discarded weed new york time,0.655844156,-0.288961039,Negative,"['nausea', 'confusion', 'dog', 'new york', 'time']","['sick', 'new']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1254,1254,"b'@libsoftiktok the cramps, bloating, fatigue, nausea... i think he is confusing a week of bad nachos and too much be... https://t.co/xc35efpnr1'",nausea,cramp bloating fatigue nausea  think confusing week bad nacho much ,0.422222222,-0.266666667,Negative,"['cramp', 'fatigue nausea', 'week']","['fatigue', 'bad', 'much']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1256,1256,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/hvrlbro3a2'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1258,1258,b'down and ive been on the couch since then. nausea and severe joint pain has been the worst part. ive learned im... https://t.co/lhpmivwtqz',nausea,down ive couch since nausea severe joint pain worst paive learned im ,0.644444444,-0.577777778,Negative,"['nausea', 'severe joint', 'pain', 'im']","['ive', 'couch', 'severe', 'paive']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1263,1263,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/kbmebolylz'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1268,1268,"b""@bloodyenamel i'm glad it went away! nausea is so annoying""",nausea,  'm glad went away nausea annoying  ,0.95,-0.15,Negative,[],"['glad', 'nausea']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1275,1275,"b""@jacquevaxx oh no...so sorry...isn't there an anti nausea med he can give you?""",nausea,  oh  sorry  n't anti nausea med give  ,1.0,-0.5,Negative,"['oh', 'nausea']",[],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1276,1276,"b""my husband is taking me out for sushi for my bday (it was yesterday but he worked late). i really hope my pregnancy nausea doesn't ruin it""",nausea,  husband taking sushi bday yesterday worked late really hope pregnancy nausea n't ruin  ,0.4,-0.05,Negative,"['husband', 'sushi bday', 'yesterday', 'pregnancy', 'nausea']","['sushi', 'late']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1277,1277,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed - https://t.co/pplxcvoufn https://t.co/bq2mreiu6q'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1278,1278,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/hooro641cw'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1282,1282,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/chwppnjrpp'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1284,1284,"b'@mechanizedonion indeed, kinda off topic, but i hate the terms ""maria mucilon"" or ""joao mucilon"" gives me nausea an... https://t.co/ehnfzcuizb'",nausea,indeed kinda topic hate term   maria mucilon     joao mucilon   give nausea ,0.9,-0.8,Negative,"['topic', 'hate term', 'maria', 'mucilon', 'joao', 'mucilon', 'nausea']",['hate'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1285,1285,"b'finally i got my meds- fuck the withdrawals today have been total ass\nhot flashes, nausea, dizzy spells/lightheaded... https://t.co/cxe3uxpwsn'",nausea,finally got meds  fuck withdrawal today total ass hot flash nausea dizzy spells lightheaded ,0.783333333,-0.133333333,Negative,"['withdrawal', 'today', 'total ass', 'hot flash', 'nausea', 'dizzy']","['total', 'hot']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1289,1289,b'now nausea. and its monday so the calls r nonstop. i am just having a horrible monday lmao',nausea,now nausea monday call r nonstop horrible monday lmao,1.0,-0.2,Negative,"['r', 'nonstop', 'horrible monday', 'lmao']","['monday', 'horrible']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1290,1290,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed - the new york times https://t.co/qtqg6fhteu'",nausea,nausea wobbling confusion dog getting sick discarded weed new york time,0.655844156,-0.288961039,Negative,"['nausea', 'confusion', 'dog', 'new york', 'time']","['sick', 'new']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1293,1293,b'nausea is beating me bad!!!',nausea,nausea beating bad,0.666666667,-0.7,Negative,"['nausea', 'beating']",['bad'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1294,1294,b'@bloodyenamel restriction nausea is the worst! its usually caused by low blood sugar or electrolyte imbalance. ple... https://t.co/fmi8dvanwx',nausea,restriction nausea worst usually caused low blood sugar electrolyte imbalance ple ,0.516666667,-0.416666667,Negative,"['restriction', 'nausea', 'low blood', 'sugar', 'electrolyte', 'imbalance', 'ple']","['worst', 'low']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1297,1297,b'what if the horrible migraine and horrible nausea/light headed feelings at every moment come back https://t.co/maebjn53r7',nausea,what horrible migraine horrible nausea light headed feeling every moment come back,0.666666667,-0.666666667,Negative,"['horrible migraine', 'horrible nausea', 'light', 'feeling', 'every moment']","['horrible', 'horrible']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1302,1302,"b""@aegies i'd buy psvr2 if the price point was a bit lower and i didn't get nausea when i play vr games""",nausea,  'd buy psvr price point bit lower n't get nausea play vr game  ,0.4,-0.4,Negative,"['psvr price', 'point', 'bit', 'nausea play', 'vr', 'game']","['psvr', 'nausea']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1303,1303,"b""@libsoftiktok not the bleeding though right? that's because unlike cramps, fatigue, and nausea, you cannot fake the blood.""",nausea,  bleeding though right 's unlike cramp fatigue nausea fake blood  ,0.767857143,-0.107142857,Negative,"['right', 'cramp', 'fatigue', 'nausea', 'blood']",[],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1305,1305,b'not me throwing up the only coffee i got down before the nausea hit im going back to sleep fuck this',nausea,not throwing coffee got nausea hit im going back sleep fuck,0.3,-0.2,Negative,"['coffee', 'nausea hit', 'im', 'sleep fuck']","['nausea', 'sleep']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1310,1310,"b""@hillarymonahan i've had success recently stopping nausea by sniffing alcohol wipes. it hasn't been serious nausea... https://t.co/vx1sj9juxd""",nausea,  've success recently stopping nausea sniffing alcohol wipe n't serious nausea ,0.305555556,-0.011111111,Negative,"['success', 'nausea', 'alcohol', 'serious nausea']",['serious'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1317,1317,"b'the worst part isnt the fact that im not eating, its the nausea and almost blacking out lol'",nausea,the worst paisnt fact im eating nausea almost blacking lol,0.85,-0.1,Negative,"['paisnt', 'fact', 'nausea', 'blacking', 'lol']",['worst'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1321,1321,b'the egregious nature of a box of jellied fruits enunciates an unsettling feeling of nausea',nausea,the egregious nature box jellied fruit enunciates unsettling feeling nausea,0.7,-0.5,Negative,"['the egregious nature', 'box', 'fruit', 'feeling', 'nausea']",['egregious'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1326,1326,"b'nausea, wobbling: in states where weed is legal, dogs are getting sick from discarded weed... https://t.co/9igsmkukyc'",nausea,nausea wobbling state weed legal dog getting sick discarded weed ,0.528571429,-0.257142857,Negative,"['nausea', 'state', 'legal dog', 'weed']","['legal', 'sick']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1330,1330,"b""@riivatunrallaa most days, i'm somewhere between 1-2. my main physical symptoms are headaches, nausea &amp; cold sweats... https://t.co/nomwdsyg9h""",nausea,  day 'm somewhere main physical symptom headache nausea amp cold sweat ,0.492063492,-0.144444444,Negative,"['day', 'main physical symptom', 'headache', 'nausea', 'amp', 'sweat']","['main', 'physical']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1338,1338,"b'@weatherchannel i think i just got over it myself. my son came home from work sick with nausea, then 3 days later,... https://t.co/vcuxnhxdba'",nausea,think got son came home work sick nausea day later ,0.428571429,-0.357142857,Negative,"['think', 'home', 'work', 'sick nausea', 'day']","['son', 'sick']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1339,1339,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/xriybo3cja #veterinarians #dogs... https://t.co/yfjwsvwxib'",nausea,nausea wobbling confusion dog getting sick discarded weed veterinarian dog ,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed', 'veterinarian dog']","['sick', 'veterinarian']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1342,1342,"b'@libsoftiktok cramps , fatigue and nausea..... thats a heavy sesh and a dodgy kebab mate'",nausea,cramp fatigue nausea .. thats heavy sesh dodgy kebamate,0.5,-0.2,Negative,"['cramp', 'fatigue', 'nausea', 'heavy sesh dodgy', 'kebamate']","['heavy', 'sesh']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1349,1349,"b'whoa ""nausea, wobbling, confusion: dogs are getting sick from discarded weed ""https://t.co/or6enkjbwm'",nausea,whoa   nausea wobbling confusion dog getting sick discarded weed  ,0.857142857,-0.714285714,Negative,"['whoa', 'nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1350,1350,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed \nhttps://t.co/dzhwziiwgj\n \nhttps://t.co/dzhwziiwgj'",nausea,nausea wobbling confusion dog getting sick discarded weed    ,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1357,1357,b'capitalist apprehension. self destructive behaviour. alienation. empty nausea.',nausea,capitalist apprehension self destructive behaviour alienation empty nausea,0.55,-0.35,Negative,"['capitalist apprehension', 'destructive behaviour alienation', 'empty nausea']","['capitalist', 'destructive', 'behaviour', 'empty']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1358,1358,"b""woke up to nausea courtesy of ibs. \nthank fuck for thc. few tokes and meds kickin' in.""",nausea,  woke nausea courtesy ibs  thank fuck thc toke med kickin  ,0.6,-0.4,Negative,"['woke', 'nausea', 'courtesy', 'ibs', 'fuck thc toke']","['fuck', 'thc']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1359,1359,"b'@sarahdalycj if you have a family member or friend thats struggling from a cold, migraine, nausea, or food poisoning, text us 442-216-0948 '",nausea,family member friend thats struggling cold migraine nausea food poisoning text u   ,1.0,-0.6,Negative,"['family', 'member', 'friend', 'cold migraine', 'nausea', 'food', 'text', 'u']",['cold'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1360,1360,"b""@sublimecoder i love the idea of vr, but i get the most awful nausea that i don't think i could ever get used to.""",nausea,  love idea vr get awful nausea n't think could ever get used  ,0.8,-0.25,Negative,"['idea', 'vr', 'awful nausea']",['awful'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1361,1361,b'@justj_rn yeah i get terrible nausea from morphine so they listed it in my allergies with it as an adverse reaction. works for me.',nausea,yeah get terrible nausea morphine listed allergy adverse reaction work,1.0,-1.0,Negative,"['yeah', 'get', 'terrible nausea', 'morphine', 'allergy adverse reaction', 'work']","['terrible', 'allergy', 'adverse']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1364,1364,b'ok maybe not i hate the nausea',nausea,ok maybe hate nausea,0.7,-0.15,Negative,['nausea'],['ok'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1367,1367,b'gin akutagawa ((\n- rumination disorder\n- has really painful nausea episodes &amp; experiences tachycardia\n- sees n... https://t.co/halhvvdk7j',nausea,gin akutagawa    rumination disorder   really painful nausea episode amp experience tachycardia   see n ,0.9,-0.7,Negative,"['gin', 'akutagawa rumination', 'disorder', 'painful nausea', 'episode', 'amp', 'experience', 'tachycardia']","['painful', 'n']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1369,1369,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/3nbiduvlmd... https://t.co/bsyscmymys'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1371,1371,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/kvhjzp6qdr'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1374,1374,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/z2zp2lazut'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1376,1376,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed.'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1379,1379,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed.\nhttps://t.co/niqorrhnns'",nausea,nausea wobbling confusion dog getting sick discarded weed. ,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1382,1382,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed  dnyuz https://t.co/kpea8vd4lj'",nausea,nausea wobbling confusion dog getting sick discarded weed dnyuz,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed', 'dnyuz']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1384,1384,"b'rt @ofdogfather: nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/jh7rts4aqi'",nausea, nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1385,1385,"b'rt @harunaswift: hmmm looking for ways to improve my general wellbeing,, i struggle with bouts of extreme tiredness, heartburn and nausea a...'",nausea, hmmm looking way improve general wellbeing struggle bout extreme tiredness heartburn nausea ,0.75,-0.0375,Negative,"['hmmm', 'way', 'struggle', 'bout', 'extreme tiredness', 'heartburn', 'nausea']","['general', 'extreme']","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1386,1386,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed https://t.co/d3tgmtib1v https://t.co/en3hhdljeq'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1388,1388,"b""on fucking valentine's day i have to be in town. yeses here's to my constant nausea when i see y'all's mjolo content!!!!!!""",nausea,  fucking valentine 's day town yes 's constant nausea see y'all 's mjolo content  ,0.566666667,-0.3,Negative,"['valentine', 'day', 'town', 'constant nausea', ""y'all"", 'mjolo', 'content']",['constant'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1389,1389,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed. https://t.co/4vn1wguv5g'",nausea,nausea wobbling confusion dog getting sick discarded weed,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1390,1390,"b'nausea, wobbling, confusion: dogs are getting sick from discarded weed #health https://t.co/e8ucsfgk50'",nausea,nausea wobbling confusion dog getting sick discarded weed health,0.857142857,-0.714285714,Negative,"['nausea', 'confusion', 'dog', 'weed', 'health']",['sick'],"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.","Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
