,Tweet,Flag,Tags
804,b'@skincare_media \xe5\xbf\x9c\xe5\x8b\x9f\xe3\x81\x95\xe3\x81\x9b\xe3\x81\xa6\xe9\xa0\x82\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\n\xe3\x81\x94\xe7\xb8\x81\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x82\x88\xe3\x81\x86\xe3\x81\xab\xef\xbc\x81\n\xe3\x82\x88\xe3\x82\x8d\xe3\x81\x97\xe3\x81\x8f\xe3\x81\x8a\xe9\xa1\x98\xe3\x81\x84\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xf0\x9f\x99\x8f',1,skincare
806,"b'RT @BizGuru4: Apparently all Hospitals in Limpopo are broke without capacity to provide medication especially chronic like sugar diabetes,\xe2\x80\xa6'",1,diabetes
811,b'@PsychotriaX diabetes ni pasti',1,diabetes
812,b'RT @skincare_media: \xef\xbc\x8f\n\xe6\x96\xb0\xe6\x98\xa5\xe3\x81\x8a\xe5\xb9\xb4\xe7\x8e\x89 #\xe3\x82\xad\xe3\x83\xa3\xe3\x83\xb3\xe3\x83\x9a\xe3\x83\xbc\xe3\x83\xb3\xf0\x9f\x8e\x89\n\xef\xbc\xbc\n\n\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xad\xe3\x83\xbc&amp;\xe3\x83\xaa\xe3\x83\x84\xe3\x82\xa4\xe3\x83\xbc\xe3\x83\x88\xe3\x81\xa7\n\xe3\x81\x9f\xe3\x81\x91\xe3\x81\xae\xe3\x81\x93\xe3\x81\xae\xe9\x87\x8c \xe5\xb0\x8f\xe8\xa2\x8b23\xe8\xa2\x8b\xe3\x82\x92\xe3\x83\x97\xe3\x83\xac\xe3\x82\xbc\xe3\x83\xb3\xe3\x83\x88\xf0\x9f\x8e\x81\n\n\xe3\x80\x90\xe5\xbf\x9c\xe5\x8b\x9f\xe6\x96\xb9\xe6\xb3\x95\xe3\x80\x91\n\xe2\x91\xa0@skincare_media \xe3\x82\x92\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xad\xe3\x83\xbc\n\xe2\x91\xa1\xe3\x81\x93\xe3\x81\xae\xe6\x8a\x95\xe7\xa8\xbf\xe3\x82\x92RT\n\n1/17(\xe7\x81\xab)\xe3\x81\xbe\xe3\x81\xa7\xe6\xaf\x8e\xe6\x97\xa5\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\xe2\x9c\xa8 https:/\xe2\x80\xa6',1,skincare
814,"b'At the rate im buying skincare and hair stuff, i need a health-related sug*r d*ddy. Gotta open vacancy for a 2nd bo\xe2\x80\xa6 https://t.co/PnmLMnTYWo'",1,skincare
816,b'The Challenges for Screening and #Diagnosing Gestational Diabetes Mellitus in Brazil: A Cross-sectional Study in a\xe2\x80\xa6 https://t.co/ZvNKSvI9jX',1,Diabetes
817,"b'( \xe0\xb8\xab\xe0\xb8\xb4\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb9\x80\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xb5 )\n\n\xe2\x99\xa1 olive young ( \xe0\xb8\x8a\xe0\xb8\xb2\xe0\xb8\x88\xe0\xb8\xad\xe0\xb8\x87\xe0\xb8\x81\xe0\xb8\xb8\xe0\xb8\x81 , grn+ , skincare , numbuzin )\n\xe0\xb8\xaa\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x88\xe0\xb8\x8a\xe0\xb8\xb4\xe0\xb9\x89\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\xab\xe0\xb8\x99\xe0\xb9\x81\xe0\xb8\x84\xe0\xb8\x9b\xe0\xb8\xaa\xe0\xb8\xad\xe0\xb8\x9a\xe0\xb8\x96\xe0\xb8\xb2\xe0\xb8\xa1\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\x84\xe0\xb9\x88\xe0\xb8\xb0 \xf0\x9f\xa4\x8d\n\n\xf0\x9f\x93\xae \xe0\xb8\x84\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\x87\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2\xe2\x80\xa6 https://t.co/4haGkcDHT5'",1,skincare
818,"b'RT @kvorahvuitton: skincare, spa days, being mindful of your diet &amp; avoid inflammatory/processed foods, wear your spf religiously, never sl\xe2\x80\xa6'",1,skincare
821,b'RT @libeyabethwel: Too much sugar in your diet is bad:\n\n-  for your teeth\n\n- can make you gain weight\n\n- can lead to diabetes.',1,diabetes
824,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
826,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
828,b'RT @DiabetesUK: Do you know the 4Ts of #T1Diabetes? They are:\n\n\xf0\x9f\x9a\xbd Toilet (needing a wee more)\n\xf0\x9f\x92\xa6 Thirsty\n\xf0\x9f\x98\xb4 Tired\n\xe2\xac\x87\xef\xb8\x8f Thinner\n\nIf you\xe2\x80\x99re alread\xe2\x80\xa6',1,Diabetes
830,"b'The lady at the store I used to buy my skincare from saw my skin problems and sent me an extra product for it, for\xe2\x80\xa6 https://t.co/tsRbR8hPqh'",1,skincare
834,b'\xf0\x9f\x92\xa7Kangen Water Benefits for Diabetes Patient\xf0\x9f\x92\xa7\nFor More Info Contact Us on 09726001700\nFollow us on our Social Media\xe2\x80\xa6 https://t.co/rmFFX1aLHX',1,Diabetes
837,b'DiaformRX: no es un medicamento y no hay pruebas de que cure la diabetes https://t.co/4xBZjAkGfx a trav\xc3\xa9s de @rtve',1,diabetes
839,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
841,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare
843,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
844,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
855,"b'RT @adamfare1996: The human body is amazing, but making hunger and nausea so similar that you sometimes can\xe2\x80\x99t tell the difference is a mass\xe2\x80\xa6'",1,nausea
856,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
857,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
858,b'RT @txtorangthread: vitamin c serum for daily routine skincare\n\n- a thread - https://t.co/Ac92CgUFwQ',1,skincare
861,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
867,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
871,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
873,b'RT @txtorangthread: vitamin c serum for daily routine skincare\n\n- a thread - https://t.co/Ac92CgUFwQ',1,skincare
875,"b'RT @bulbulkun: Buat referensi, ini contoh step skincare yang aku pake kalo lagi pake Zlota Perfect Highdrating Treatment!!\nKalo pagi, Clean\xe2\x80\xa6'",1,skincare
878,b'how much do you spend on skincare every month?',1,skincare
880,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
883,"b'service motor, bensin, kuota itu doang\nblm skincare, bodycare printilan lainnya'",1,skincare
884,b'@paulaloparte Diabetes???',1,Diabetes
889,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
890,"b""RT @Daily_Express: Make-up artist shares how women over 40 can instantly 'improve skin appearance' and look younger #beauty #skincare \n\nhtt\xe2\x80\xa6""",1,skincare
892,b'@iwn_skincare \xe3\x81\x93\xe3\x81\x86\xe3\x81\xb8\xe3\x81\x84\xe3\x81\x95\xe3\x82\x93\xe3\x80\x81\xe3\x82\x8f\xe3\x81\x9f\xe3\x81\x97\xe3\x82\x82\xe5\x85\xa8\xe3\x81\x8f\xe5\x90\x8c\xe3\x81\x98\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\xe7\xac\x91\n\xe5\xb0\x91\xe3\x81\x97\xe3\x81\x9a\xe3\x81\xa4\xe9\x81\x94\xe6\x88\x90\xe3\x81\xa7\xe3\x81\x8d\xe3\x82\x8b\xe3\x82\x88\xe3\x81\x86\xe3\x80\x81\xe9\xa0\x91\xe5\xbc\xb5\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xf0\x9f\x98\x82',1,skincare
895,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
897,b'@yveae @Dewpreofficial Iyakann! Aku lagi suka skincare yg isinya banyak hihi',1,skincare
898,"b'RT @hannestschuertz: @FranzSchellhorn Du hast 5kg Kekse und Mehlspeisen von Weihnachten \xc3\xbcber, aber hast schwere Diabetes.  Wirst du sie ess\xe2\x80\xa6'",1,Diabetes
904,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare
905,"b'RT @VICTORSILVES63: LA DIABETES Y LOS F\xc3\x81RMACOS : \nLa diabetes no es una enfermedad cr\xc3\xb3nica, los f\xc3\xa1rmacos la convierten en cr\xc3\xb3nica.\nLa diabe\xe2\x80\xa6'",1,DIABETES
909,b'@marinedara Skincare',1,Skincare
910,"b'Registrations are open at the ""European Endocrinology and Diabetes Congress"" Conference during April 18-19, 2023 in\xe2\x80\xa6 https://t.co/yx7JWwmrj1'",1,Diabetes
913,b'doing my skincare makes me feel like i got my life together',1,skincare
916,b'RT @AbudiAlsagoff: Kulit smooth&gt;&gt;&gt;kulit putih tapi berkerak. Skincare&gt;&gt;&gt;product pemutih kulit sampah.',1,Skincare
920,b'RT @DiabetesUK: Do you know the 4Ts of #T1Diabetes? They are:\n\n\xf0\x9f\x9a\xbd Toilet (needing a wee more)\n\xf0\x9f\x92\xa6 Thirsty\n\xf0\x9f\x98\xb4 Tired\n\xe2\xac\x87\xef\xb8\x8f Thinner\n\nIf you\xe2\x80\x99re alread\xe2\x80\xa6',1,Diabetes
925,b'for best results i always do my skincare routine around 2-3am idk why',1,skincare
928,b'Por si todav\xc3\xada nos sabes que es el @DiabetesExpeDay te comparto un v\xc3\xaddeo muy ilustrativo. Si conoces a alguien con\xe2\x80\xa6 https://t.co/rBYG2sCReh',1,Diabetes
932,b'RT @echachaa__: Uang kalian abis dipake beli outfit atau beli skincare?',1,skincare
935,b'Discover An All-Natural Method That Eliminates Both Migraine And Frequent Headaches https://t.co/FT1m2alnQH Migraine Aura',1,Headaches
937,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
946,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
947,b'Jeremy Clarkson injecting Danish drug weekly after he admits diabetes and health concerns\n#JeremyClarkson \nhttps://t.co/8aAtPiKdec',1,diabetes
952,b'RT @wileyinresearch: Does #diabetes during pregnancy increase the risk of neurodevelopmental conditions in children?\n\nNew research publishe\xe2\x80\xa6',1,diabetes
955,"b'RT @blusmarine: me after ghosting everybody, buying new skincare products, changing my personality and becoming the best version of myself\xe2\x80\xa6'",1,skincare
957,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
958,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
961,b'#ManualSEEN de informaci\xc3\xb3n para #pacientes \xf0\x9f\x92\xa5 Tratamiento insul\xc3\xadnico del paciente con #diabetes tipo 1\n\n\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f Dr. F.\xe2\x80\xa6 https://t.co/KmE9PTsfEZ',1,diabetes
962,b'Improperly managed Diabetes &amp; its complications is a very difficult condition to live with - Call Aculaser Wellcare\xe2\x80\xa6 https://t.co/VJmnsoKb1q',1,Diabetes
963,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
964,"b'Ciri-ciri diabetes, sebagai berikut :\n- sering merasa haus\n- sering buang air kecil, terutama dimalam hari\n- penuru\xe2\x80\xa6 https://t.co/IhAfrDKXuc'",1,diabetes
966,b'Improperly managed Diabetes &amp; its complications is a very difficult condition to live with - Call Aculaser Wellcare\xe2\x80\xa6 https://t.co/XKYymWLeOK',1,Diabetes
969,"b""Can you cure diabetes with diet?\n\nI don't know, but having a better diet and eating beef and eggs and dropping the\xe2\x80\xa6 https://t.co/g30gTqUPRF""",1,diabetes
